FUSION360 Tool Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
post-process/number,geometry/shoulder-length,description,type,geometry/DC,BMC,GRADE,geometry/CSP,geometry/HAND,geometry/LB,geometry/LCF,geometry/NOF,geometry/NT,geometry/OAL,geometry/RE,geometry/SFDM,geometry/SIG,geometry/TA,geometry/TP,geometry/thread-profile-angle,geometry/tip-diameter,geometry/tip-length,geometry/tip-offset,guid,holder/description,holder/guid,holder/last_modified,holder/product-id,holder/product-link,holder/reference_guid,holder/segments/0/height,holder/segments/0/lower-diameter,holder/segments/0/upper-diameter,holder/type,holder/unit,holder/vendor,last_modified,post-process/break-control,post-process/comment,post-process/diameter-offset,post-process/length-offset,post-process/live,post-process/manual-tool-change,post-process/tool-coolant,post-process/turret,product-id,product-link,reference_guid,shaft/guid,shaft/segments/0/height,shaft/segments/0/lower-diameter,shaft/segments/0/upper-diameter,shaft/type,shaft/unit,start-values/*/f_n,start-values/*/f_z,start-values/*/n,start-values/*/n_ramp,start-values/*/v_c,start-values/*/v_f,start-values/*/v_f_leadIn,start-values/*/v_f_leadOut,start-values/*/v_f_plunge,start-values/*/v_f_ramp,start-values/*/v_f_retract,unit,vendor,tapered-type,geometry/CW,geometry/JET_HEAD_CLEARANCE,geometry/JET_NOZZLE_DIAMETER,holder/segments/1/height,holder/segments/1/lower-diameter,holder/segments/1/upper-diameter,holder/segments/2/height,holder/segments/2/lower-diameter,holder/segments/2/upper-diameter,holder/segments/3/height,holder/segments/3/lower-diameter,holder/segments/3/upper-diameter,holder/segments/4/height,holder/segments/4/lower-diameter,holder/segments/4/upper-diameter,start-values/*/machineQualityControl,holder/segments/5/height,holder/segments/5/lower-diameter,holder/segments/5/upper-diameter,holder/segments/6/height,holder/segments/6/lower-diameter,holder/segments/6/upper-diameter,holder/segments/7/height,holder/segments/7/lower-diameter,holder/segments/7/upper-diameter,holder/segments/8/height,holder/segments/8/lower-diameter,holder/segments/8/upper-diameter,holder/segments/9/height,holder/segments/9/lower-diameter,holder/segments/9/upper-diameter,holder/segments/10/height,holder/segments/10/lower-diameter,holder/segments/10/upper-diameter,holder/segments/11/height,holder/segments/11/lower-diameter,holder/segments/11/upper-diameter,holder/segments/12/height,holder/segments/12/lower-diameter,holder/segments/12/upper-diameter,holder/segments/13/height,holder/segments/13/lower-diameter,holder/segments/13/upper-diameter,segments/0/height,segments/0/lower-diameter,segments/0/upper-diameter
1,10,Vacuum,flat end mill,80,hss,Mill Generic,FALSE,TRUE,20,5,3,0,50,0,80,0,0,0,0,80,0,0,b37a4e99-e755-48b5-8158-2424d9b9f6cf,Vacuum,3db8c810-00c4-42f5-b84e-f124c16745db,1.51842E+12,,,df7f01e7-bece-4f6c-a85c-9ed2c1a1cb9e,100,80,80,holder,millimeters,,1.52194E+12,FALSE,,1,1,TRUE,FALSE,flood,0,,,a1e36bbf-621e-4442-a0b5-489a1545aaf6,,,,,,,0,,0,0,0,7200,1000,1000,333.333,333.333,333.333,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,,tapered mill,0.1,hss,Mill Generic,FALSE,TRUE,25,3,3,0,60,0.1,6,0,45,0,0,-0.1,0,0,efe0d359-9743-4a62-bfef-d70d7366e5ec,Maritool CAT40-ER32-2.35,e800051b-e2d6-4699-a2b6-dad6466a0a0c,1.48579E+12,CAT40-ER32-2.35,,,0.148,1.5,1.97,holder,inches,Maritool,1.53929E+12,FALSE,,1,1,TRUE,FALSE,flood,0,,,,,,,,,,0.066666667,0.066666667,5000,5000,1.570796327,1000,1000,1000,333.3333333,333.3333333,333.3333333,millimeters,,tapered_bull_nose,,,,0.836,1.97,1.97,0.176,1.57,1.57,0.09,1.57,1.75,0.425,1.75,1.75,,0.05,1.75,1.85,0.03,2.442,2.502,0.145,2.502,2.502,0.079,2.502,2.215,0.118,2.215,2.215,0.079,2.215,2.502,0.143,2.502,2.502,0.03,2.502,2.442,0.125,1.75,1.75,,,
2,18,,chamfer mill,6,hss,Mill Generic,FALSE,TRUE,30,12,3,0,30,0,6,0,45,0,0,0.1,0,0,7ff57189-5535-4631-9cad-379624685cd9,Maritool CAT40-ER32-2.35,e800051b-e2d6-4699-a2b6-dad6466a0a0c,1.48579E+12,CAT40-ER32-2.35,,,0.148,1.5,1.97,holder,inches,Maritool,1.53041E+12,FALSE,,2,2,TRUE,TRUE,flood,0,,,,,,,,,,0.0666666,0.066666667,5000,5000,94.24777961,1000,1000,1000,333.333,333.333,333.333,millimeters,,,,,,0.836,1.97,1.97,0.176,1.57,1.57,0.09,1.57,1.75,0.425,1.75,1.75,,0.05,1.75,1.85,0.03,2.442,2.502,0.145,2.502,2.502,0.079,2.502,2.215,0.118,2.215,2.215,0.079,2.215,2.502,0.143,2.502,2.502,0.03,2.502,2.442,0.125,1.75,1.75,,,
22,25,Standard 2mm drill,drill,2,hss,generic,FALSE,TRUE,30,20,2,0,58,0,2,118,0,0,0,0,0,0,34b50259-dc52-4f36-a040-0d7c6b7eeb02,Vacuum,3db8c810-00c4-42f5-b84e-f124c16745db,1.51842E+12,,,df7f01e7-bece-4f6c-a85c-9ed2c1a1cb9e,100,80,80,holder,millimeters,,1.52186E+12,FALSE,,22,22,TRUE,TRUE,flood,0,,,a5b137d3-a911-4a9c-a9bd-f1a588055268,,,,,,,0.1,,8000,8000,50.26548246,0,0,0,800,0,1000,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,40,Standard 3mm drill,drill,3,hss,generic,FALSE,TRUE,40,40,2,0,60,0,3,118,0,0,0,0,0,0,4deba72c-0694-4ecd-b55d-33a722fa5e1f,Vacuum,3db8c810-00c4-42f5-b84e-f124c16745db,1.51842E+12,,,df7f01e7-bece-4f6c-a85c-9ed2c1a1cb9e,100,80,80,holder,millimeters,,1.51944E+12,FALSE,,23,23,TRUE,TRUE,flood,0,,,3c25b8fc-ab72-48b4-af43-a6d9a1e09edf,,,,,,,0.1,,8000,8000,75.39822369,0,0,0,800,0,1000,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,48,Standard 4mm drill,drill,4,hss,generic,FALSE,TRUE,48,48,2,0,75,0,4,118,0,0,0,0,0,0,f240bda3-3705-4f31-a1af-e23686ea7366,Vacuum,3db8c810-00c4-42f5-b84e-f124c16745db,1.51842E+12,,,df7f01e7-bece-4f6c-a85c-9ed2c1a1cb9e,100,80,80,holder,millimeters,,1.52247E+12,FALSE,,24,24,TRUE,TRUE,flood,0,,,cbffceec-8a13-44e3-a3da-4809bb78791e,,,,,,,0.1,,8000,8000,100.5309649,0,0,0,800,0,1000,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,48,Standard 5mm drill,drill,5,hss,generic,FALSE,TRUE,48,48,2,0,75,0,4,118,0,0,0,0,0,0,55eb7fa2-884a-44da-9aa7-728f1188fc20,Vacuum,3db8c810-00c4-42f5-b84e-f124c16745db,1.51842E+12,,,df7f01e7-bece-4f6c-a85c-9ed2c1a1cb9e,100,80,80,holder,millimeters,,1.52755E+12,FALSE,,25,25,TRUE,TRUE,flood,0,,,6669dc6a-a6f6-4f5c-bbd7-5ab5535b2bfb,,,,,,,0.1,,8000,8000,125.6637061,0,0,0,800,0,1000,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,48,Standard 6mm drill,drill,6,hss,generic,FALSE,TRUE,48,48,2,0,75,0,4,118,0,0,0,0,0,0,0b8d6433-1797-40e3-849d-675f15cad7dc,Vacuum,3db8c810-00c4-42f5-b84e-f124c16745db,1.51842E+12,,,df7f01e7-bece-4f6c-a85c-9ed2c1a1cb9e,100,80,80,holder,millimeters,,1.52247E+12,FALSE,,26,26,TRUE,TRUE,flood,0,,,3bca6e02-74df-4c7e-b5cc-55b7619eb020,,,,,,,0.1,,8000,8000,150.7964474,0,0,0,800,0,1000,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,48,Standard 8mm drill,drill,8,hss,generic,FALSE,TRUE,48,48,2,0,75,0,4,118,0,0,0,0,0,0,57cd4a7c-6eb1-4f01-b1af-8093fa134007,Vacuum,3db8c810-00c4-42f5-b84e-f124c16745db,1.51842E+12,,,df7f01e7-bece-4f6c-a85c-9ed2c1a1cb9e,100,80,80,holder,millimeters,,1.52755E+12,FALSE,,28,28,TRUE,TRUE,flood,0,,,3f6fbaee-88d6-4130-adb8-19f6dba9d0f0,,,,,,,0.1,,8000,8000,201.0619298,0,0,0,800,0,1000,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,18,fly mill face cutter,flat end mill,22,hss,Mill Generic,FALSE,TRUE,18,12.5,2,0,46,0,6,0,0,0,0,22,0,0,b89ff2a3-a917-4f9c-94e7-4ff302cb6366,Vacuum,3db8c810-00c4-42f5-b84e-f124c16745db,1.51842E+12,,,df7f01e7-bece-4f6c-a85c-9ed2c1a1cb9e,100,80,80,holder,millimeters,,1.51944E+12,FALSE,,32,32,TRUE,TRUE,flood,0,,,a3989143-2afc-4d8b-b0cf-1b076bf49674,bfb4d83e-6e40-4a5c-b5e7-5e73bfa71c60,10,6,6,shaft,millimeters,0.1,0.15,12000,12000,829.3804605,3600,1000,1000,1200,333.333,1200,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
